Service Operations for: ,Current Account,,,,
,1,out,Account Lien Instance Record,BQ Account Lien Instance Record,
,2,out,Lien Type,BQ Account Lien Instance Record,
,3,out,Lien Definition,BQ Account Lien Instance Record,
,4,out,Lien Processing Option,BQ Account Lien Instance Record,
,5,out,Lien Record,BQ Account Lien Instance Record,
,6,out,Lien Originator,BQ Account Lien Instance Record,
,7,out,Lien Purpose,BQ Account Lien Instance Record,
,8,out,Lien Amount,BQ Account Lien Instance Record,
,9,out,Lien Start Date,BQ Account Lien Instance Record,
,10,out,Lien Expiry Date,BQ Account Lien Instance Record,
,11,out,Lien Status,BQ Account Lien Instance Record,
,,,,,
Post,/current-account/{sd-identifier}/account-sweep/{crbq-identifier}/initiation,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,in,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,in,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,in,Customer Reference,CR Current Account Arrangement Instance Record,AccountInvolvement
,5,in,Bank Branch/Location Reference,CR Current Account Arrangement Instance Record,
,6,in,Account Type,CR Current Account Arrangement Instance Record,AccountType
,7,in,Account Currency,CR Current Account Arrangement Instance Record,AccountCurrency
,8,in,Tax Reference,CR Current Account Arrangement Instance Record,
,9,in,Entitlement Option Setting,CR Current Account Arrangement Instance Record,
,10,in,Restriction Option Setting,CR Current Account Arrangement Instance Record,
,11,in,Linked Accounts,CR Current Account Arrangement Instance Record,Account
,12,in,Link Type,CR Current Account Arrangement Instance Record,Text
,13,in,Account Details,CR Current Account Arrangement Instance Record,
,14,inout,Date Type,CR Current Account Arrangement Instance Record,
,15,inout,Account Sweep Instance Record,BQ Account Sweep Instance Record,
,16,in,Account Sweep Type,BQ Account Sweep Instance Record,
,17,out,Account Sweep Definition,BQ Account Sweep Instance Record,
,18,inout,Account Sweep Application Schedule,BQ Account Sweep Instance Record,
,19,in,Account Sweep Configuration,BQ Account Sweep Instance Record,
,20,in,Target Account,BQ Account Sweep Instance Record,
,21,in,Sweep Mandate,BQ Account Sweep Instance Record,
,22,in,Sweep Processing Schedule,BQ Account Sweep Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/account-sweep/{crbq-identifier}/update,,,,
,1,inout,Account Sweep Instance Record,BQ Account Sweep Instance Record,
,2,inout,Account Sweep Type,BQ Account Sweep Instance Record,
,3,inout,Account Sweep Definition,BQ Account Sweep Instance Record,
,4,inout,Account Sweep Application Schedule,BQ Account Sweep Instance Record,
,5,inout,Account Sweep Configuration,BQ Account Sweep Instance Record,
,6,inout,Target Account,BQ Account Sweep Instance Record,
,7,inout,Sweep Mandate,BQ Account Sweep Instance Record,
,8,inout,Sweep Processing Schedule,BQ Account Sweep Instance Record,
,9,inout,Sweep Application Record,BQ Account Sweep Instance Record,
,10,inout,Account Sweep Target Account,BQ Account Sweep Instance Record,
,11,inout,Account Sweep Amount,BQ Account Sweep Instance Record,
,12,inout,Account Sweep Execution Date,BQ Account Sweep Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/account-sweep/{crbq-identifier}/execution,,,,
,1,in,Account Sweep Instance Record,BQ Account Sweep Instance Record,
,2,in,Sweep Application Record,BQ Account Sweep Instance Record,
